customerid,category,country,industry,month,billedamount
42,Individual,Poland,Marketing,2009-1,3549
590,Company,China,Human Resources,2009-1,18815
635,Individual,Czech Republic,Sales,2009-1,17819
637,Company,Madagascar,Support,2009-1,14225
953,Company,Vietnam,Business Development,2009-1,2200
663,Company,Cuba,Research and Development,2009-1,13888
664,Company,Poland,Sales,2009-1,15375
665,Company,France,Support,2009-1,4461
35,Individual,Republic of the Congo,Business Development,2009-1,547
666,Individual,Japan,Legal,2009-1,6206
667,Individual,China,Training,2009-1,17680
668,Company,France,Services,2009-1,11754
669,Individual,Pakistan,Engineering,2009-1,18860
670,Individual,Brazil,Sales,2009-1,5553
671,Individual,Czech Republic,Support,2009-1,5903
672,Individual,Slovakia,Support,2009-1,14549
673,Company,China,Product Management,2009-1,1264
674,Company,Ukraine,Support,2009-1,3204
34,Company,Croatia,Research and Development,2009-1,6088
675,Company,France,Marketing,2009-1,4279
952,Individual,China,Sales,2009-1,10115
676,Individual,Lithuania,Accounting,2009-1,10100
677,Individual,Dominican Republic,Human Resources,2009-1,3719
678,Company,China,Product Management,2009-1,18876
679,Individual,Latvia,Support,2009-1,14615
680,Company,France,Services,2009-1,14101
681,Individual,Mauritius,Accounting,2009-1,674
33,Individual,China,Business Development,2009-1,8353
682,Company,China,Sales,2009-1,15232
662,Individual,Nigeria,Training,2009-1,12735
636,Company,Tanzania,Legal,2009-1,13692
661,Company,China,Services,2009-1,17974
659,Individual,Poland,Engineering,2009-1,11121
638,Company,Colombia,Support,2009-1,11595
639,Individual,Finland,Legal,2009-1,4604
640,Company,Colombia,Support,2009-1,12903
641,Individual,Vietnam,Engineering,2009-1,9467
642,Company,China,Business Development,2009-1,3495
38,Individual,Philippines,Sales,2009-1,5824
643,Company,Egypt,Support,2009-1,8222
644,Individual,Slovenia,Legal,2009-1,17749
645,Individual,Indonesia,Human Resources,2009-1,15425
646,Individual,Portugal,Sales,2009-1,7978
647,Company,Indonesia,Business Development,2009-1,9761
648,Individual,Russia,Marketing,2009-1,18037
954,Individual,Armenia,Accounting,2009-1,10284
649,Company,Thailand,Services,2009-1,7972
37,Company,Indonesia,Business Development,2009-1,9107
650,Individual,Luxembourg,Engineering,2009-1,6720
651,Company,Philippines,Support,2009-1,10273
652,Company,Poland,Sales,2009-1,7450
653,Company,Cape Verde,Training,2009-1,4776
654,Company,China,Legal,2009-1,3232
655,Individual,China,Engineering,2009-1,2703
656,Individual,Cuba,Training,2009-1,14770
657,Company,Paraguay,Services,2009-1,11229
658,Company,Bolivia,Human Resources,2009-1,16805
36,Company,Ukraine,Product Management,2009-1,1567
660,Individual,China,Marketing,2009-1,9567
589,Company,Philippines,Research and Development,2009-1,2009
588,Company,France,Product Management,2009-1,12319
45,Individual,Colombia,Accounting,2009-1,421
517,Company,Bosnia and Herzegovina,Human Resources,2009-1,11819
518,Individual,Sri Lanka,Training,2009-1,19666
519,Individual,Indonesia,Human Resources,2009-1,4775
520,Individual,Indonesia,Training,2009-1,12864
521,Individual,Nigeria,Support,2009-1,18185
522,Company,Indonesia,Engineering,2009-1,19056
523,Company,China,Business Development,2009-1,16444
524,Company,China,Sales,2009-1,6508
53,Company,China,Services,2009-1,15960
963,Company,China,Support,2009-1,188
525,Individual,China,Training,2009-1,4571
526,Company,China,Legal,2009-1,1718
527,Individual,Canada,Research and Development,2009-1,9582
528,Company,Indonesia,Support,2009-1,7099
529,Company,Russia,Services,2009-1,13178
530,Individual,China,Engineering,2009-1,13458
531,Company,Portugal,Legal,2009-1,18686
532,Individual,China,Services,2009-1,2047
52,Individual,Moldova,Legal,2009-1,4866
533,Company,China,Business Development,2009-1,14232
534,Company,Russia,Services,2009-1,4385
535,Individual,Poland,Training,2009-1,18175
536,Individual,Honduras,Human Resources,2009-1,3855
537,Individual,United States,Research and Development,2009-1,7184
538,Individual,Russia,Training,2009-1,14188
54,Individual,China,Services,2009-1,19105
962,Individual,Czech Republic,Legal,2009-1,4692
516,Company,Argentina,Legal,2009-1,19930
514,Individual,Somalia,Legal,2009-1,9965
494,Company,Thailand,Engineering,2009-1,14965
495,Individual,Palestinian Territory,Business Development,2009-1,10646
496,Individual,Ukraine,Marketing,2009-1,8297
965,Company,Nigeria,Marketing,2009-1,3424
497,Company,Bolivia,Business Development,2009-1,11755
498,Company,China,Marketing,2009-1,4970
499,Individual,French Guiana,Legal,2009-1,6711
500,Individual,China,Accounting,2009-1,13565
501,Individual,Philippines,Marketing,2009-1,18194
56,Individual,Sweden,Business Development,2009-1,8981
997,Company,Mongolia,Sales,2009-1,13103
502,Individual,Ukraine,Legal,2009-1,18078
503,Individual,Yemen,Support,2009-1,19257
504,Company,United States,Research and Development,2009-1,972
505,Individual,France,Business Development,2009-1,1748
506,Individual,Indonesia,Business Development,2009-1,2144
507,Individual,Russia,Engineering,2009-1,3767
508,Company,Peru,Engineering,2009-1,14204
509,Company,Kenya,Training,2009-1,8986
55,Individual,China,Engineering,2009-1,5371
510,Individual,Portugal,Support,2009-1,10524
964,Individual,Brazil,Training,2009-1,4477
511,Individual,Armenia,Legal,2009-1,17043
512,Company,Russia,Sales,2009-1,589
513,Company,Indonesia,Training,2009-1,14723
515,Individual,Brazil,Legal,2009-1,677
539,Company,Bosnia and Herzegovina,Business Development,2009-1,2148
51,Company,Paraguay,Support,2009-1,4269
540,Company,Indonesia,Marketing,2009-1,2727
566,Individual,Peru,Legal,2009-1,15424
567,Company,Vietnam,Human Resources,2009-1,1364
568,Company,Indonesia,Support,2009-1,1766
569,Individual,China,Research and Development,2009-1,17285
570,Company,Czech Republic,Business Development,2009-1,14106
571,Company,United States,Legal,2009-1,8378
47,Company,United States,Training,2009-1,6858
572,Company,United States,Engineering,2009-1,12052
573,Individual,Brazil,Support,2009-1,19804
574,Company,Equatorial Guinea,Marketing,2009-1,18111
575,Individual,Guinea,Training,2009-1,10838
576,Individual,China,Engineering,2009-1,18568
577,Individual,Armenia,Research and Development,2009-1,17610
578,Individual,China,Support,2009-1,6985
579,Company,France,Marketing,2009-1,3698
46,Individual,Mexico,Product Management,2009-1,1235
959,Individual,Libya,Legal,2009-1,2092
580,Individual,Madagascar,Research and Development,2009-1,15086
581,Company,Indonesia,Support,2009-1,12537
582,Individual,Poland,Marketing,2009-1,7298
583,Company,Georgia,Marketing,2009-1,2640
584,Company,Canada,Research and Development,2009-1,18068
585,Individual,Brazil,Support,2009-1,11330
586,Company,China,Product Management,2009-1,12394
587,Individual,China,Sales,2009-1,8380
960,Individual,Indonesia,Human Resources,2009-1,7435
565,Individual,Portugal,Services,2009-1,18105
48,Individual,Indonesia,Business Development,2009-1,18642
564,Individual,Russia,Marketing,2009-1,19129
541,Company,Russia,Engineering,2009-1,4437
542,Individual,Afghanistan,Product Management,2009-1,14444
543,Company,United States,Marketing,2009-1,7908
544,Individual,South Korea,Services,2009-1,1350
545,Individual,China,Sales,2009-1,7050
546,Individual,Greece,Research and Development,2009-1,6783
547,Company,Indonesia,Services,2009-1,19351
548,Individual,United States,Training,2009-1,7812
50,Company,Paraguay,Business Development,2009-1,12786
549,Company,Kyrgyzstan,Engineering,2009-1,12188
550,Company,Philippines,Engineering,2009-1,3582
551,Individual,Russia,Business Development,2009-1,14138
683,Company,Russia,Business Development,2009-1,8013
961,Individual,China,Services,2009-1,12389
553,Company,Belarus,Accounting,2009-1,12151
554,Company,Japan,Accounting,2009-1,12878
555,Company,Portugal,Research and Development,2009-1,15569
49,Company,China,Sales,2009-1,2602
556,Company,China,Product Management,2009-1,13521
557,Company,Finland,Services,2009-1,6358
558,Company,Mexico,Training,2009-1,3001
559,Individual,Indonesia,Legal,2009-1,16154
560,Company,Nicaragua,Engineering,2009-1,9856
561,Individual,Indonesia,Sales,2009-1,18162
562,Individual,Belarus,Research and Development,2009-1,3069
563,Individual,China,Sales,2009-1,5827
552,Individual,China,Human Resources,2009-1,14456
684,Individual,Mexico,Training,2009-1,4349
685,Individual,Ukraine,Support,2009-1,4740
686,Individual,Indonesia,Human Resources,2009-1,7828
17,Company,France,Services,2009-1,12785
808,Company,China,Legal,2009-1,4762
809,Company,Philippines,Services,2009-1,4404
810,Individual,China,Human Resources,2009-1,14064
811,Individual,Benin,Human Resources,2009-1,18239
812,Company,China,Human Resources,2009-1,2195
813,Company,Serbia,Human Resources,2009-1,18991
942,Individual,Indonesia,Services,2009-1,18838
814,Individual,Ukraine,Legal,2009-1,4975
815,Company,Macedonia,Product Management,2009-1,18970
16,Individual,Ukraine,Sales,2009-1,5094
816,Company,Thailand,Marketing,2009-1,12422
817,Individual,Honduras,Research and Development,2009-1,19736
818,Individual,Portugal,Human Resources,2009-1,18583
819,Company,Thailand,Legal,2009-1,6408
820,Company,United States,Accounting,2009-1,13187
821,Individual,Colombia,Accounting,2009-1,12517
822,Individual,Tanzania,Sales,2009-1,7686
823,Company,Bosnia and Herzegovina,Engineering,2009-1,5170
15,Individual,Thailand,Engineering,2009-1,6487
824,Individual,China,Legal,2009-1,2062
1000,Company,China,Legal,2009-1,19474
825,Company,Brazil,Support,2009-1,9390
826,Individual,Argentina,Research and Development,2009-1,10582
827,Individual,Argentina,Marketing,2009-1,16005
807,Company,Portugal,Product Management,2009-1,16737
941,Individual,Denmark,Human Resources,2009-1,5831
806,Company,China,Legal,2009-1,10948
804,Company,China,Human Resources,2009-1,15580
784,Individual,Russia,Marketing,2009-1,5011
20,Individual,Armenia,Services,2009-1,3591
785,Company,China,Research and Development,2009-1,16923
786,Individual,Philippines,Training,2009-1,4721
944,Company,Greece,Legal,2009-1,505
787,Company,Japan,Research and Development,2009-1,11599
788,Individual,China,Marketing,2009-1,7167
789,Company,Poland,Accounting,2009-1,5067
790,Individual,Ethiopia,Accounting,2009-1,7186
791,Company,Vietnam,Marketing,2009-1,13593
19,Individual,China,Business Development,2009-1,14022
792,Individual,Indonesia,Engineering,2009-1,10193
793,Individual,Bangladesh,Human Resources,2009-1,14620
794,Company,China,Legal,2009-1,607
795,Company,Dominican Republic,Accounting,2009-1,9648
796,Company,Venezuela,Training,2009-1,7201
797,Individual,Indonesia,Legal,2009-1,14796
798,Company,Egypt,Training,2009-1,484
799,Company,Sweden,Engineering,2009-1,17582
18,Individual,Ecuador,Engineering,2009-1,13640
943,Individual,China,Human Resources,2009-1,1000
800,Company,China,Human Resources,2009-1,11304
801,Company,China,Support,2009-1,17247
802,Company,Brazil,Business Development,2009-1,16300
803,Individual,Brazil,Business Development,2009-1,2543
805,Company,China,Services,2009-1,11548
828,Company,Nigeria,Services,2009-1,3592
829,Company,Canada,Accounting,2009-1,710
830,Company,Costa Rica,Support,2009-1,11896
939,Company,Russia,Support,2009-1,14366
856,Company,Sweden,Engineering,2009-1,12813
857,Individual,Russia,Product Management,2009-1,12029
858,Individual,Tanzania,Accounting,2009-1,12976
859,Individual,Nigeria,Product Management,2009-1,12506
860,Company,Brazil,Sales,2009-1,4201
861,Company,Indonesia,Business Development,2009-1,15996
862,Company,United States,Accounting,2009-1,13634
10,Company,New Zealand,Engineering,2009-1,1663
863,Company,Finland,Services,2009-1,6893
864,Individual,Liechtenstein,Training,2009-1,10833
865,Individual,Japan,Training,2009-1,713
866,Company,Peru,Accounting,2009-1,432
867,Company,Thailand,Accounting,2009-1,2891
868,Company,Philippines,Engineering,2009-1,15321
938,Individual,Sweden,Engineering,2009-1,12056
869,Individual,Brazil,Legal,2009-1,19745
9,Company,Russia,Support,2009-1,15756
870,Individual,Tunisia,Marketing,2009-1,15932
871,Company,China,Training,2009-1,1887
872,Individual,Uganda,Engineering,2009-1,3687
873,Company,Canada,Human Resources,2009-1,16647
874,Individual,China,Research and Development,2009-1,17769
875,Individual,China,Engineering,2009-1,12812
876,Company,Cape Verde,Services,2009-1,2115
855,Company,Poland,Legal,2009-1,15088
11,Individual,Myanmar,Training,2009-1,1916
854,Individual,China,Research and Development,2009-1,12925
853,Individual,Russia,Support,2009-1,16915
831,Individual,Indonesia,Product Management,2009-1,6091
14,Company,Poland,Research and Development,2009-1,15655
832,Individual,Peru,Support,2009-1,13185
833,Individual,Burkina Faso,Sales,2009-1,9156
834,Company,Libya,Services,2009-1,6996
835,Company,Portugal,Human Resources,2009-1,5686
836,Company,Yemen,Services,2009-1,4220
837,Company,China,Human Resources,2009-1,12367
838,Individual,Russia,Human Resources,2009-1,579
13,Individual,China,Human Resources,2009-1,5749
839,Individual,Russia,Services,2009-1,9221
840,Individual,Philippines,Product Management,2009-1,13576
783,Company,Ukraine,Accounting,2009-1,6299
841,Company,Peru,Accounting,2009-1,17389
842,Individual,Djibouti,Sales,2009-1,1238
843,Company,China,Services,2009-1,904
844,Individual,Ukraine,Support,2009-1,7285
845,Individual,Brazil,Business Development,2009-1,6885
846,Company,France,Research and Development,2009-1,11419
12,Individual,China,Legal,2009-1,17784
847,Individual,Philippines,Research and Development,2009-1,3939
848,Company,Russia,Sales,2009-1,9113
849,Company,Portugal,Legal,2009-1,60
850,Company,Brazil,Training,2009-1,6910
851,Company,Philippines,Sales,2009-1,8162
852,Company,China,Product Management,2009-1,14992
940,Company,Indonesia,Services,2009-1,373
57,Company,Indonesia,Engineering,2009-1,16535
782,Individual,China,Marketing,2009-1,16789
780,Individual,Indonesia,Business Development,2009-1,19263
711,Individual,Serbia,Support,2009-1,13202
712,Company,Indonesia,Sales,2009-1,13624
713,Company,Belarus,Human Resources,2009-1,10196
29,Individual,Russia,Training,2009-1,3267
714,Individual,China,Sales,2009-1,17587
999,Company,China,Business Development,2009-1,11886
715,Individual,United States,Product Management,2009-1,1352
716,Individual,Argentina,Business Development,2009-1,3588
717,Company,Bangladesh,Sales,2009-1,14918
949,Individual,Russia,Accounting,2009-1,10913
718,Company,Peru,Product Management,2009-1,935
719,Company,Colombia,Research and Development,2009-1,6502
720,Company,China,Research and Development,2009-1,10511
721,Company,Russia,Support,2009-1,11393
28,Company,Kiribati,Business Development,2009-1,6452
722,Individual,Sweden,Sales,2009-1,406
723,Company,Pakistan,Legal,2009-1,1824
724,Individual,Luxembourg,Accounting,2009-1,13204
725,Individual,Argentina,Services,2009-1,15687
726,Company,China,Product Management,2009-1,17088
727,Company,Cameroon,Engineering,2009-1,9772
728,Individual,Kyrgyzstan,Accounting,2009-1,17120
27,Company,Cayman Islands,Legal,2009-1,5930
729,Individual,Norway,Product Management,2009-1,15083
730,Individual,China,Marketing,2009-1,1337
710,Individual,Czech Republic,Human Resources,2009-1,9547
731,Individual,Indonesia,Support,2009-1,3791
709,Company,Lebanon,Business Development,2009-1,6773
707,Individual,Indonesia,Accounting,2009-1,11669
687,Company,China,Marketing,2009-1,961
688,Individual,Russia,Business Development,2009-1,7315
689,Individual,Indonesia,Legal,2009-1,11422
32,Company,Colombia,Sales,2009-1,14175
951,Individual,China,Research and Development,2009-1,1370
690,Company,Philippines,Product Management,2009-1,2600
691,Individual,North Korea,Legal,2009-1,13317
692,Company,Poland,Training,2009-1,3976
693,Individual,Portugal,Services,2009-1,17205
694,Company,Canada,Support,2009-1,16669
695,Company,Greece,Engineering,2009-1,8925
696,Individual,Russia,Human Resources,2009-1,11586
697,Individual,Iran,Engineering,2009-1,11980
31,Company,Kazakhstan,Research and Development,2009-1,4383
698,Company,Indonesia,Sales,2009-1,5977
699,Company,United States,Marketing,2009-1,12898
700,Company,Peru,Marketing,2009-1,2875
701,Company,Jordan,Product Management,2009-1,522
702,Company,Sweden,Marketing,2009-1,750
703,Individual,Indonesia,Accounting,2009-1,9696
950,Company,Philippines,Support,2009-1,9399
704,Individual,Russia,Legal,2009-1,15736
705,Company,Indonesia,Training,2009-1,11371
30,Individual,China,Research and Development,2009-1,89
706,Company,Portugal,Marketing,2009-1,13489
708,Individual,China,Support,2009-1,15511
948,Company,China,Marketing,2009-1,11808
732,Company,Sri Lanka,Legal,2009-1,902
733,Company,Costa Rica,Legal,2009-1,2955
759,Individual,China,Support,2009-1,6258
23,Company,Croatia,Research and Development,2009-1,10215
760,Company,Russia,Training,2009-1,5139
761,Individual,China,Research and Development,2009-1,3887
762,Company,France,Accounting,2009-1,17481
763,Individual,Slovenia,Business Development,2009-1,8315
764,Individual,Kazakhstan,Sales,2009-1,19721
765,Company,Austria,Accounting,2009-1,3245
766,Individual,Dominican Republic,Human Resources,2009-1,6845
767,Company,Philippines,Sales,2009-1,14743
768,Company,Russia,Research and Development,2009-1,9815
22,Company,Portugal,Business Development,2009-1,15868
769,Company,Mexico,Accounting,2009-1,17710
770,Individual,China,Product Management,2009-1,18111
771,Company,Bangladesh,Product Management,2009-1,1773
772,Individual,Philippines,Human Resources,2009-1,14256
945,Individual,Colombia,Marketing,2009-1,15534
773,Individual,Thailand,Training,2009-1,6285
774,Individual,Albania,Accounting,2009-1,11359
775,Company,Philippines,Training,2009-1,725
21,Company,Pakistan,Support,2009-1,12485
776,Individual,China,Business Development,2009-1,357
777,Individual,Georgia,Training,2009-1,1096
778,Individual,China,Human Resources,2009-1,3760
779,Company,Niger,Product Management,2009-1,12002
946,Individual,Indonesia,Business Development,2009-1,12359
758,Company,Nicaragua,Support,2009-1,3076
757,Company,Czech Republic,Support,2009-1,13767
756,Company,China,Product Management,2009-1,12478
734,Company,Philippines,Sales,2009-1,14479
735,Individual,China,Training,2009-1,7752
736,Company,Brazil,Research and Development,2009-1,11801
26,Individual,China,Product Management,2009-1,5209
737,Individual,China,Legal,2009-1,1610
738,Individual,Sweden,Product Management,2009-1,14918
739,Individual,Thailand,Marketing,2009-1,19095
740,Company,Russia,Engineering,2009-1,12981
741,Company,China,Services,2009-1,11118
742,Individual,China,Services,2009-1,6516
743,Individual,China,Business Development,2009-1,14483
744,Company,China,Product Management,2009-1,18337
781,Company,Yemen,Engineering,2009-1,1353
25,Company,Czech Republic,Sales,2009-1,8673
745,Individual,Philippines,Legal,2009-1,685
746,Individual,Portugal,Product Management,2009-1,4449
747,Company,Russia,Marketing,2009-1,13692
748,Company,Venezuela,Product Management,2009-1,16573
749,Individual,Portugal,Services,2009-1,19945
750,Individual,China,Sales,2009-1,13532
751,Company,Serbia,Legal,2009-1,12344
752,Individual,Peru,Legal,2009-1,15902
24,Individual,Denmark,Product Management,2009-1,13399
753,Company,China,Business Development,2009-1,6041
754,Individual,Brazil,Sales,2009-1,3325
755,Company,Dominican Republic,Legal,2009-1,12848
947,Individual,China,Engineering,2009-1,9471
877,Individual,Brazil,Engineering,2009-1,16487
493,Individual,Spain,Business Development,2009-1,18741
491,Individual,Philippines,Product Management,2009-1,16591
228,Company,China,Business Development,2009-1,6334
229,Company,Vietnam,Product Management,2009-1,3763
230,Individual,Palestinian Territory,Marketing,2009-1,17346
231,Individual,Indonesia,Services,2009-1,6925
232,Company,Brazil,Human Resources,2009-1,17040
233,Company,Hungary,Sales,2009-1,14913
90,Company,Venezuela,Legal,2009-1,18997
234,Company,South Africa,Services,2009-1,2964
984,Company,Sweden,Services,2009-1,11913
235,Company,Egypt,Marketing,2009-1,10438
236,Individual,China,Services,2009-1,14663
237,Individual,Honduras,Services,2009-1,11293
238,Individual,Indonesia,Accounting,2009-1,10971
239,Individual,China,Business Development,2009-1,99
240,Individual,Philippines,Research and Development,2009-1,10865
241,Individual,China,Support,2009-1,4144
89,Individual,Philippines,Legal,2009-1,13407
242,Individual,China,Marketing,2009-1,7293
243,Company,Argentina,Sales,2009-1,13855
244,Individual,China,Services,2009-1,10629
245,Company,Croatia,Engineering,2009-1,3626
246,Individual,China,Research and Development,2009-1,18303
247,Individual,Brazil,Human Resources,2009-1,18521
248,Company,Philippines,Marketing,2009-1,6836
983,Individual,China,Marketing,2009-1,9254
227,Individual,Philippines,Human Resources,2009-1,5405
88,Company,Indonesia,Engineering,2009-1,412
226,Individual,Portugal,Sales,2009-1,16967
225,Individual,China,Services,2009-1,9736
204,Company,Brazil,Support,2009-1,19191
205,Company,Canada,Business Development,2009-1,18400
206,Company,Ghana,Support,2009-1,11893
207,Individual,China,Support,2009-1,11312
986,Company,Peru,Product Management,2009-1,491
208,Individual,China,Sales,2009-1,6847
209,Individual,China,Services,2009-1,5231
93,Company,France,Accounting,2009-1,8820
210,Individual,China,Marketing,2009-1,3699
211,Company,Guatemala,Sales,2009-1,11105
212,Individual,China,Human Resources,2009-1,6555
213,Company,Philippines,Marketing,2009-1,16680
214,Individual,Japan,Training,2009-1,2133
215,Individual,United States,Research and Development,2009-1,19008
216,Company,Portugal,Sales,2009-1,11172
217,Individual,Brazil,Research and Development,2009-1,12332
92,Company,Thailand,Services,2009-1,9257
218,Individual,China,Marketing,2009-1,1519
219,Company,Mongolia,Product Management,2009-1,6782
220,Individual,France,Engineering,2009-1,14860
221,Company,Argentina,Human Resources,2009-1,14354
985,Company,Mexico,Marketing,2009-1,2851
222,Individual,China,Sales,2009-1,4783
223,Individual,Portugal,Human Resources,2009-1,19891
224,Individual,Lebanon,Research and Development,2009-1,19750
91,Company,Indonesia,Business Development,2009-1,8037
203,Company,United States,Training,2009-1,9195
249,Company,China,Human Resources,2009-1,19929
251,Individual,Kazakhstan,Sales,2009-1,6459
981,Individual,Philippines,Human Resources,2009-1,18431
277,Individual,Bulgaria,Legal,2009-1,2992
278,Individual,Namibia,Marketing,2009-1,3359
279,Company,Palestinian Territory,Support,2009-1,12580
280,Company,Indonesia,Marketing,2009-1,727
84,Company,France,Legal,2009-1,158
281,Company,Brazil,Business Development,2009-1,13820
995,Company,Mauritius,Legal,2009-1,6559
282,Company,Japan,Human Resources,2009-1,14512
283,Company,China,Accounting,2009-1,2262
284,Individual,Mongolia,Accounting,2009-1,16527
285,Company,Colombia,Engineering,2009-1,3596
286,Company,China,Training,2009-1,2193
287,Individual,Portugal,Research and Development,2009-1,16314
288,Individual,Ethiopia,Services,2009-1,7618
83,Individual,China,Research and Development,2009-1,4511
289,Company,Ukraine,Legal,2009-1,4671
290,Individual,Nigeria,Research and Development,2009-1,12795
980,Company,Sweden,Business Development,2009-1,12712
291,Individual,Ecuador,Legal,2009-1,5316
292,Company,Japan,Legal,2009-1,13701
293,Company,South Africa,Legal,2009-1,17776
294,Individual,China,Legal,2009-1,7400
295,Individual,Poland,Sales,2009-1,17422
296,Individual,Argentina,Services,2009-1,5904
276,Company,Poland,Sales,2009-1,9740
250,Individual,Central African Republic,Product Management,2009-1,7556
275,Company,Indonesia,Engineering,2009-1,14602
85,Company,China,Legal,2009-1,11630
252,Company,China,Human Resources,2009-1,15211
253,Individual,Colombia,Marketing,2009-1,4798
254,Individual,Indonesia,Marketing,2009-1,447
255,Company,Russia,Product Management,2009-1,6429
256,Company,Indonesia,Research and Development,2009-1,5922
257,Company,Guatemala,Business Development,2009-1,10271
87,Individual,Poland,Human Resources,2009-1,6901
258,Individual,Laos,Marketing,2009-1,10797
259,Individual,Czech Republic,Legal,2009-1,3568
260,Individual,Ukraine,Training,2009-1,11940
261,Company,Syria,Support,2009-1,18183
262,Individual,United States,Human Resources,2009-1,3697
982,Company,Poland,Research and Development,2009-1,1109
263,Company,United States,Engineering,2009-1,5366
264,Individual,Brazil,Product Management,2009-1,6115
86,Company,Indonesia,Engineering,2009-1,14520
265,Company,Indonesia,Support,2009-1,13604
266,Individual,Portugal,Sales,2009-1,5434
267,Company,Russia,Sales,2009-1,12186
268,Company,Portugal,Accounting,2009-1,17867
269,Individual,Malaysia,Business Development,2009-1,17372
270,Company,Indonesia,Business Development,2009-1,16356
271,Company,Indonesia,Training,2009-1,6861
272,Individual,Czech Republic,Marketing,2009-1,799
273,Company,China,Engineering,2009-1,17659
274,Individual,Ukraine,Accounting,2009-1,14690
202,Individual,Morocco,Research and Development,2009-1,9818
94,Company,Russia,Product Management,2009-1,15832
201,Individual,China,Research and Development,2009-1,6335
103,Individual,Pakistan,Engineering,2009-1,16649
132,Company,Sweden,Accounting,2009-1,18548
133,Company,Brazil,Sales,2009-1,10904
134,Individual,China,Sales,2009-1,15888
135,Company,Indonesia,Sales,2009-1,15527
136,Company,Colombia,Business Development,2009-1,4061
137,Company,China,Accounting,2009-1,14507
138,Individual,Poland,Business Development,2009-1,5803
102,Individual,Russia,Business Development,2009-1,16807
991,Company,Poland,Marketing,2009-1,14917
139,Individual,United States,Sales,2009-1,5550
140,Company,Poland,Training,2009-1,15137
141,Individual,Spain,Marketing,2009-1,2520
142,Individual,China,Services,2009-1,3619
143,Company,Peru,Engineering,2009-1,7655
144,Individual,Uzbekistan,Human Resources,2009-1,2371
145,Individual,Bosnia and Herzegovina,Product Management,2009-1,6702
146,Individual,Cameroon,Support,2009-1,15878
147,Company,United States,Engineering,2009-1,17044
101,Individual,Iran,Legal,2009-1,578
148,Company,Egypt,Training,2009-1,19294
149,Individual,Portugal,Human Resources,2009-1,19078
150,Company,Vietnam,Training,2009-1,11608
151,Individual,Sierra Leone,Marketing,2009-1,18081
152,Individual,Malta,Training,2009-1,4719
131,Company,China,Product Management,2009-1,5205
990,Company,American Samoa,Business Development,2009-1,4202
130,Company,Peru,Human Resources,2009-1,19406
128,Company,Indonesia,Legal,2009-1,18019
106,Company,Bulgaria,Product Management,2009-1,7516
108,Company,China,Legal,2009-1,12898
109,Individual,Portugal,Business Development,2009-1,8206
110,Individual,Indonesia,Training,2009-1,16110
993,Company,Russia,Accounting,2009-1,16963
111,Individual,Indonesia,Marketing,2009-1,1584
112,Company,Indonesia,Training,2009-1,11862
